Test Case ID;Module;Description;Preconditions;Steps;Expected Result;;Actual Result;Status;
TC_UI_01;UI/UX;Перевірка відображення всіх елементів форми;Менеджер успішно авторизувався і знаходиться на сторінці «Add New Customer».;"1. Клікнути мишкою на перше поле «Customer Name».
2. Натискати клавішу Tab на клавіатурі для послідовного переходу до наступних елементів форми.";Усі поля (Customer Name, Gender, Date of Birth, Address, City, State, PIN, Mobile Number, E-mail) та кнопки (Submit, Reset) присутні на екрані. Текст (лейбли) написаний без орфографічних помилок.;;;;
TC_UX_01;UI/UX;Перевірка відображення всіх елементів форми;Менеджер знаходиться на сторінці «Add New Customer».;"1. Клікнути мишкою на перше поле «Customer Name».
2. Натискати клавішу Tab на клавіатурі для послідовного переходу до наступних елементів форми.";Фокус вводу послідовно та логічно переміщується зверху вниз по всіх полях, закінчуючи кнопками «Submit» та «Reset».;;;;
TC_BTN_01;Buttons;Перевірка функціональності кнопки «Reset»;Менеджер знаходиться на сторінці «Add New Customer».;"1. Ввести довільні тестові дані у всі текстові поля форми (Name, Address, City, State, PIN, Mobile, Email).
2. Змінити стать («Gender») на «female».
3. Вказати довільну дату в полі «Date of Birth».
4. Натиснути кнопку «Reset».";Усі введені дані миттєво видаляються (текстові поля стають пустими), поле «Gender» повертається до стану за замовчуванням (обрано «male»). Форма виглядає так само, як при першому відкритті сторінки.;;;;
1;Customer Name;Перевірка на введення пустого поля;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Date of Birth», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Залишити поле «Customer Nme» пустим.
2. Заповнити всі інші обов'язкові поля форми валідними даними.
3. Натиснути кнопку «Submit».";"Форма не відправляється. Під полем «Customer Name» (або у спливаючому вікні) з'являється повідомлення про помилку  ""Customer Name must not be blank"").";;;;
2;Customer Name;Перевірка на введення спеціальних символів;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Date of Birth», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Ввести в поле «Customer Name» спеціальні символи (наприклад, !@#$%^&*()).
2. Заповнити всі інші обов'язкові поля форми валідними даними.
3. Натиснути кнопку «Submit».";"Форма не відправляється. З'являється повідомлення про помилку про те, що ім'я не може містити спецсимволи  ""Special characters are not allowed""";;;;
3;Customer Name;Перевірка на введення чисел;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Date of Birth», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Ввести в поле «Customer Name» цифри (наприклад, 123456 або Ivan123).
3. Заповнити всі інші обов'язкові поля форми валідними даними.
3. Натиснути кнопку «Submit».";"Форма не відправляється. З'являється повідомлення про помилку ""Numbers are not allowed in Customer Name"".";;;;
4;Customer Name;Перевірка на введення пробілу на початку імені;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Date of Birth», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Ввести в поле «Customer Name» текст, який починається з пробілу (наприклад,  Ivan).
2. Заповнити всі інші обов'язкові поля форми валідними даними.
3. Натиснути кнопку «Submit».";"Форма не відправляється. З'являється повідомлення про помилку ""First character cannot be a space"".";;;;
5;Customer Name;Перевірка на введення валідних даних;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Date of Birth», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Ввести в поле «Customer Name» коректне ім'я, використовуючи лише літери  Ivan 
2. Заповнити всі інші обов'язкові поля форми валідними даними.
1. Натиснути кнопку «Submit».";"Форма успішно відправляється. Система створює нового клієнта та показує повідомлення про успіх ""Customer Registered Successfully"".";;;;
6;Gender;Перевірка взаємовиключення радіокнопок (Mutual Exclusivity);Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Date of Birth», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Натиснути на радіокнопку «female».
2. Потім натиснути на радіокнопку «male».";При виборі однієї опції попередня автоматично деактивується. Неможливо обрати варіанти «male» та «female» одночасно.;;;;
7;Gender;Перевірка стану за замовчуванням (Default state);Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Date of Birth», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Відкрити або оновити сторінку «Add New Customer».
2. Подивитися на поле «Gender».";Радіокнопка «male» обрана за замовчуванням (як це відображено на макеті дизайну).;;;;
8;Gender;Перевірка збереження вибору при відправці форми;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Date of Birth», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Обрати радіокнопку «female».
2. Заповнити всі інші обов'язкові поля форми валідними даними.
3. Натиснути кнопку «Submit»";Форма успішно відправляється, і в профілі створеного клієнта зберігається стать «female».;;;;
9;Date of Birth;Спроба ввести дату з майбутнього;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Клікнути на поле «Date of Birth» або відкрити вбудований календар.
2. Вказати дату, яка ще не настала (наприклад, завтрашній день або 01/01/2050).
3. Натиснути кнопку «Submit» для збереження форми.";Система блокує створення клієнта. Поле підсвічується червоним, і виводиться повідомлення про те, що дата народження не може бути у майбутньому часі.;;;;
10;Date of Birth;Спроба використати від'ємне значення місяця;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Перевести фокус у блок введення місяця в полі «Date of Birth».
2. Спробувати надрукувати від'ємне число (наприклад, ""-5"").
3. Клікнути на кнопку «Submit».";Інтерфейс взагалі не дозволяє ввести символ мінуса (блокує натискання клавіші). Якщо ж мінус вводиться, після натискання «Submit» з'являється помилка невідповідності формату дати.;;;;
11;Date of Birth;Перевірка валідації порожнього поля;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Сфокусуватися на полі «Date of Birth», а потім клікнути поза ним, залишивши його абсолютно порожнім.
2. Натиснути кнопку «Submit».";Спрацьовує перевірка на обов'язковість поля. Форма не відправляється, а користувач бачить попередження, що поле «Date of Birth» є обов'язковим для заповнення.;;;;
12;Date of Birth;Перевірка введення літер замість цифр;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1.Поставити курсор у поле «Date of Birth».
2.Набрати на клавіатурі будь-які літери (наприклад, ""травень"" або ""abc"")
3.Спробувати відправити форму кнопкою «Submit».";Поле ігнорує літери (дозволяє вводити лише цифри). Якщо літери все ж відображаються, при відправці система інформує про невірний тип даних.;;;;
13;Date of Birth; Перевірка додавання пробілу всередині року;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Ввести коректні день та місяць, але в році поставити пробіл між цифрами (наприклад, ""19 95"").
2. Натиснути «Submit».";Система або автоматично прибирає зайвий пробіл і успішно створює клієнта, або повертає помилку про порушення формату;;;;
14;Date of Birth;Перевірка граничних значень (екстремально стара дата);Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Address», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Заповнити поле «Date of Birth» датою, яка відповідає дуже великому віку (наприклад, 1926 рік).

2. Натиснути кнопку «Submit».";Якщо за вимогами є ліміт на максимальний вік клієнта, система видає відповідну помилку. Якщо таких лімітів у вимогах немає — створення профілю проходить успішно.;;;;
15;Address;Перевірка  порожнього поля;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Date of birthd», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Повністю очистити поле «Address», не вводити жодного символу (навіть пробілу)
2. Заповнити всі інші поля (Name, Gender, DOB, City, State, PIN, Mobile, Email) коректними даними.
3. Натиснути кнопку «Submit» у нижній частині форми.";Система блокує реєстрацію. Виводиться повідомлення про помилку валідації: «Address Field must not be blank»;;;;
15;Address;Валідація використання спеціальних символів;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Date of birthd», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Ввести в поле «Address» набір спеціальних символів (наприклад, !@#$%^&*()_+{}:""<>?).
2. Заповнити всі інші поля валідними даними.
3.Натиснути кнопку «Submit».";Система блокує реєстрацію. Виводиться повідомлення про помилку валідації: «Special characters are not allowed in Address».;;;;
16;Address;Перевірка підтримки іноземних шрифтів (Корейська мова);Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Date of birthd», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Скопіювати та вставити в поле «Address» адресу корейською мовою (наприклад, «서울특별시 강남구» — Сеул, район Каннамгу).
2. Заповнити всі інші поля валідними даними.
3. Натиснути кнопку «Submit».";Система повинна успішно зберегти ці символи без перетворення їх на «знаки питання» (???), або видати помилку, якщо дозволено лише латиницю/кирилицю;;;;
17;Address;Валідація з правильною адресою;Менеджер авторизований у системі та відкрив форму створення клієнта. Поля «Customer Name», «Gender», «Date of birthd», «City», «State», «PIN», «Mobile Number» та «E-mail» вже заповнені коректними даними.;"1. Ввести повну коректну адресу, включаючи номер будинку та квартири (наприклад, «вул. Хрещатик, 1, кв. 15»).
2. Переконатися, що всі інші обов'язкові поля заповнені валідними даними.
3. Натиснути кнопку «Submit».";Система повинна миттєво обробити запит, вивести повідомлення «Customer Registered Successfully» і надати ID нового клієнта.;;;;
18;City;Перевірка валідації пустого поля;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, State, PIN, Mobile Number, E-mail;"1. Залишити поле «City» пустим.
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""City Field must not be blank"".";;;;
19;City;Перевірка валідації поля на введення цифр;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, State, PIN, Mobile Number, E-mail;"1. Ввести цифри (наприклад, 12345) у поле «City».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Numbers are not allowed"".";;;;
20;City;Перевірка валідації поля на введення спеціальних символів;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, State, PIN, Mobile Number, E-mail;"1. Ввести спеціальні символи (наприклад, !@#$%) у поле «City».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Special characters are not allowed"".";;;;
21;City;Перевірка валідації поля на введення пробілу на початку слова;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, State, PIN, Mobile Number, E-mail;"1. Ввести назву міста, почавши з пробілу (наприклад, Kyiv).
2. Натиснути кнопку «Submit»";"З'являється повідомлення про помилку: ""First character can not be space"".";;;;
22;City;Перевірка поля на введення валідних даних;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, State, PIN, Mobile Number, E-mail;"1. Ввести коректну назву міста літерами (наприклад, Kyiv).
2. Натиснути кнопку «Submit».";Помилки валідації відсутні. Форма успішно відправляється, система створює нового клієнта.;;;;
23;State;Перевірка валідації пустого поля State;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, PIN, Mobile Number, E-mail.;"1. Залишити поле «State» пустим.
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""State must not be blank"".";;;;
24;State;Перевірка валідації поля «State» на введення цифр;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, PIN, Mobile Number, E-mail.;"1. Ввести цифри (наприклад, 12345) у поле «State».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Numbers are not allowed"".";;;;
