Test Case ID;Module;Description;Preconditions;Steps;Expected Result;;Actual Result;Status;
1;UI/UX;Перевірка відображення всіх елементів форми логіну;Користувач відкрив сторінку авторизації (Login Page).;1. Візуально оглянути сторінку.;Усі поля (User ID, Password) та кнопки (Login, Reset) присутні на екрані. Текст написаний без помилок.;;;;
;;;;2. Порівняти наявні елементи із затвердженим макетом (Design Mockup).;;;;;
2;UI/UX;Перевірка навігації по полях за допомогою клавіатури;Користувач знаходиться на сторінці «Login Page».;1. Клікнути на поле «User ID».;Фокус вводу логічно переміщується: User ID -> Password -> кнопка Login -> кнопка Reset.;;;;
;;;;2. Натискати клавішу Tab для переходу до наступних елементів.;;;;;
3;Password;Перевірка маскування введених символів у полі пароля;Користувач знаходиться на сторінці «Login Page».;1. Ввести довільний текст у поле «Password».;Введені символи не відображаються як відкритий текст, а приховані за допомогою крапок або зірочок (наприклад, ••••••).;;;;
4;User ID;Перевірка валідації пустого поля «User ID»;Користувач знаходиться на сторінці «Login Page». Поле «Password» заповнене.;1. Залишити поле «User ID» пустим.;"Система не пропускає далі. З'являється повідомлення про помилку: ""User ID must not be blank"".";;;;
;;;;2. Натиснути кнопку «Login».;;;;;
5;Password;Перевірка валідації пустого поля «Password»;Користувач знаходиться на сторінці «Login Page». Поле «User ID» заповнене.;1. Залишити поле «Password» пустим.;"Система не пропускає далі. З'являється повідомлення про помилку: ""Password must not be blank"".";;;;
;;;;2. Натиснути кнопку «Login».;;;;;
6;Business Logic;Перевірка авторизації з невірними даними (Invalid Credentials);Користувач знаходиться на сторінці «Login Page».;1. Ввести неіснуючий «User ID» або неправильний «Password».;"Авторизація неуспішна. З'являється повідомлення: ""User or Password is not valid"" (система не повинна уточнювати, що саме неправильно — логін чи пароль, заради безпеки).";;;;
;;;;2. Натиснути кнопку «Login».;;;;;
7;Buttons;Перевірка функціональності кнопки «Reset»;Користувач знаходиться на сторінці «Login Page».;1. Ввести будь-які дані в поля «User ID» та «Password».;Усі введені дані миттєво видаляються, поля стають абсолютно пустими.;;;;
;;;;2. Натиснути кнопку «Reset».;;;;;
8;Positive;Перевірка успішної авторизації ;Користувач знаходиться на сторінці «Login Page». Має дійсні облікові дані.;1. Ввести коректний «User ID».;Авторизація проходить успішно. Користувач перенаправляється на головну сторінку панелі керування (Manager Homepage).;;;;
;;;;2. Ввести правильний «Password».;;;;;
;;;;3. Натиснути кнопку «Login».;;;;;
